"Population Mid-2015"

Location,Location Type,TimeFrame,Data Type,Data,Footnotes
French Polynesia,Country,Mid-2015,Number,"263,000",
Gabon,Country,Mid-2015,Number,"1,751,000",
Gambia,Country,Mid-2015,Number,"2,021,893",
Georgia,Country,Mid-2015,Number,"3,804,000",
Germany,Country,Mid-2015,Number,"81,132,000",
Ghana,Country,Mid-2015,Number,"27,672,800",
Greece,Country,Mid-2015,Number,"11,520,785",
Grenada,Country,Mid-2015,Number,"111,000",
Guadeloupe,Country,Mid-2015,Number,"407,000",
Guam,Country,Mid-2015,Number,"184,200",
Guatemala,Country,Mid-2015,Number,"16,183,752",
Guinea,Country,Mid-2015,Number,"10,985,600",
Guinea-Bissau,Country,Mid-2015,Number,"1,788,000",
Guyana,Country,Mid-2015,Number,"743,000",
Haiti,Country,Mid-2015,Number,"10,924,000",
Honduras,Country,Mid-2015,Number,"8,340,000",
"Hong Kong, SAR",Country,Mid-2015,Number,"7,286,402",
Hungary,Country,Mid-2015,Number,"9,835,030",
Iceland,Country,Mid-2015,Number,"330,828",
India,Country,Mid-2015,Number,"1,314,097,616",
Indonesia,Country,Mid-2015,Number,"255,741,973",
Iran,Country,Mid-2015,Number,"78,483,446",
Iraq,Country,Mid-2015,Number,"37,056,000",
Ireland,Country,Mid-2015,Number,"4,630,308",
Israel,Country,Mid-2015,Number,"8,375,384",
Italy,Country,Mid-2015,Number,"62,466,780",
Jamaica,Country,Mid-2015,Number,"2,727,000",
Japan,Country,Mid-2015,Number,"126,866,820",
Jordan,Country,Mid-2015,Number,"8,118,000",
Kazakhstan,Country,Mid-2015,Number,"17,544,274",
Kenya,Country,Mid-2015,Number,"44,306,000",
Kiribati,Country,Mid-2015,Number,"113,400",
"Korea, North",Country,Mid-2015,Number,"24,983,000",
"Korea, South",Country,Mid-2015,Number,"50,713,867",
Kosovo,Country,Mid-2015,Number,"1,802,000",
Kuwait,Country,Mid-2015,Number,"3,837,700",
Kyrgyzstan,Country,Mid-2015,Number,"5,951,000",
Laos,Country,Mid-2015,Number,"6,903,049",
Latvia,Country,Mid-2015,Number,"1,978,454",
Lebanon,Country,Mid-2015,Number,"6,185,000",
Lesotho,Country,Mid-2015,Number,"1,924,381",
Liberia,Country,Mid-2015,Number,"4,503,000",
Libya,Country,Mid-2015,Number,"6,317,000",
Liechtenstein,Country,Mid-2015,Number,"37,570",
Lithuania,Country,Mid-2015,Number,"2,911,203",
Luxembourg,Country,Mid-2015,Number,"569,202",
"Macao, SAR",Country,Mid-2015,Number,"658,611",
Macedonia,Country,Mid-2015,Number,"2,070,100",
Madagascar,Country,Mid-2015,Number,"23,047,400",
Malawi,Country,Mid-2015,Number,"17,174,000",
Malaysia,Country,Mid-2015,Number,"30,788,840",
Maldives,Country,Mid-2015,Number,"346,946",
Mali,Country,Mid-2015,Number,"16,749,000",
Malta,Country,Mid-2015,Number,"431,486",
Marshall Islands,Country,Mid-2015,Number,"55,000",
Martinique,Country,Mid-2015,Number,"379,000",
Mauritania,Country,Mid-2015,Number,"3,641,288",
Mauritius,Country,Mid-2015,Number,"1,262,660",
Mayotte,Country,Mid-2015,Number,"229,890",
Mexico,Country,Mid-2015,Number,"127,017,000",
Moldova,Country,Mid-2015,Number,"4,109,000",
Monaco,Country,Mid-2015,Number,"38,088",
Mongolia,Country,Mid-2015,Number,"3,029,335",
Montenegro,Country,Mid-2015,Number,"622,421",
Morocco,Country,Mid-2015,Number,"34,121,000",
Mozambique,Country,Mid-2015,Number,"25,736,000",
Myanmar,Country,Mid-2015,Number,"52,147,000",
Namibia,Country,Mid-2015,Number,"2,482,100",
Nauru,Country,Mid-2015,Number,"10,860",
Nepal,Country,Mid-2015,Number,"28,039,000",
Netherlands,Country,Mid-2015,Number,"16,942,373",
New Caledonia,Country,Mid-2015,Number,"271,974",
New Zealand,Country,Mid-2015,Number,"4,598,066",
Nicaragua,Country,Mid-2015,Number,"6,262,000",
Niger,Country,Mid-2015,Number,"18,884,462",
Nigeria,Country,Mid-2015,Number,"181,839,400",
Norway,Country,Mid-2015,Number,"5,194,411",
Oman,Country,Mid-2015,Number,"4,201,000",
Pakistan,Country,Mid-2015,Number,"199,047,300",
Palau,Country,Mid-2015,Number,"18,000",
Palestinian Territory,Country,Mid-2015,Number,"4,481,195",
Panama,Country,Mid-2015,Number,"3,980,000",
Papua New Guinea,Country,Mid-2015,Number,"7,744,600",
Paraguay,Country,Mid-2015,Number,"7,020,000",
Peru,Country,Mid-2015,Number,"31,151,643",
Philippines,Country,Mid-2015,Number,"102,965,300",
Poland,Country,Mid-2015,Number,"38,478,001",
Portugal,Country,Mid-2015,Number,"10,349,000",
Puerto Rico,Country,Mid-2015,Number,"3,502,000",
Qatar,Country,Mid-2015,Number,"2,394,524",
Reunion,Country,Mid-2015,Number,"851,060",
Romania,Country,Mid-2015,Number,"19,838,662",
Russia,Country,Mid-2015,Number,"144,302,000",
Rwanda,Country,Mid-2015,Number,"11,331,300",
Samoa,Country,Mid-2015,Number,"194,210",
San Marino,Country,Mid-2015,Number,"33,000",
Sao Tome and Principe,Country,Mid-2015,Number,"195,570",
Saudi Arabia,Country,Mid-2015,Number,"31,565,109",
Senegal,Country,Mid-2015,Number,"14,690,400",
Serbia,Country,Mid-2015,Number,"7,097,190",
Seychelles,Country,Mid-2015,Number,"92,833",
Sierra Leone,Country,Mid-2015,Number,"6,502,960",
Singapore,Country,Mid-2015,Number,"5,541,121",
Slovakia,Country,Mid-2015,Number,"5,424,051",
Slovenia,Country,Mid-2015,Number,"2,064,000",
Solomon Islands,Country,Mid-2015,Number,"641,900",
Somalia,Country,Mid-2015,Number,"11,123,000",
South Africa,Country,Mid-2015,Number,"55,041,000",
South Sudan,Country,Mid-2015,Number,"12,152,000",
Spain,Country,Mid-2015,Number,"46,368,000",
Sri Lanka,Country,Mid-2015,Number,"20,868,800",
St. Kitts-Nevis,Country,Mid-2015,Number,"46,000",
St. Lucia,Country,Mid-2015,Number,"175,000",
St. Vincent & the Grenadines,Country,Mid-2015,Number,"110,000",
Sudan,Country,Mid-2015,Number,"40,883,900",
Suriname,Country,Mid-2015,Number,"576,000",
Swaziland,Country,Mid-2015,Number,"1,286,000",
Sweden,Country,Mid-2015,Number,"9,804,792",
Switzerland,Country,Mid-2015,Number,"8,292,851",
Syria,Country,Mid-2015,Number,"17,065,000",
Taiwan,Country,Mid-2015,Number,"23,468,000",
Tajikistan,Country,Mid-2015,Number,"8,452,153",
Tanzania,Country,Mid-2015,Number,"52,291,000",
Thailand,Country,Mid-2015,Number,"65,121,250",
Timor-Leste,Country,Mid-2015,Number,"1,244,759",
Togo,Country,Mid-2015,Number,"7,231,000",
Tonga,Country,Mid-2015,Number,"103,300",
Trinidad and Tobago,Country,Mid-2015,Number,"1,351,000",
Tunisia,Country,Mid-2015,Number,"11,026,000",
Turkey,Country,Mid-2015,Number,"78,215,000",
Turkmenistan,Country,Mid-2015,Number,"5,373,000",
Tuvalu,Country,Mid-2015,Number,"11,800",
Uganda,Country,Mid-2015,Number,"40,141,000",
Ukraine,Country,Mid-2015,Number,"42,828,300",
United Arab Emirates,Country,Mid-2015,Number,"9,577,000",
United Kingdom,Country,Mid-2015,Number,"65,092,000",
United States,Country,Mid-2015,Number,"321,234,172",
Uruguay,Country,Mid-2015,Number,"3,562,000",
Uzbekistan,Country,Mid-2015,Number,"31,290,791",
Vanuatu,Country,Mid-2015,Number,"277,500",
Venezuela,Country,Mid-2015,Number,"30,620,000",
Vietnam,Country,Mid-2015,Number,"91,714,080",
Western Sahara,Country,Mid-2015,Number,"604,000",
Yemen,Country,Mid-2015,Number,"26,737,000",
Zambia,Country,Mid-2015,Number,"15,473,900",
Zimbabwe,Country,Mid-2015,Number,"17,354,000",

